Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2024-05-08T07:10:35-0700,Trade,Sell to Open,SELL_TO_OPEN,SPXW  240508C05165000,Equity Option,Sold 1 SPX 05/08/24 Call 5165.00 @ 16.93,"1,693.00",1,"1,693.00",-1.00,-0.783,100,SPXW,SPX,5/08/24,5165,CALL,321566154
2024-05-08T07:00:50-0700,Trade,Buy to Close,BUY_TO_CLOSE,TOST  240510C00025000,Equity Option,Bought 1 TOST 05/10/24 Call 25.00 @ 0.98,-98.00,1,-98.00,0.00,-0.13,100,TOST,TOST,5/10/24,25,CALL,321559436
2024-05-08T06:58:18-0700,Trade,Sell to Open,SELL_TO_OPEN,SHOP  240621P00070000,Equity Option,Sold 1 SHOP 06/21/24 Put 70.00 @ 8.81,881.00,1,881.00,-1.00,-0.143,100,SHOP,SHOP,6/21/24,70,PUT,321557809
2024-05-08T06:58:18-0700,Trade,Buy to Close,BUY_TO_CLOSE,SHOP  240517P00069000,Equity Option,Bought 1 SHOP 05/17/24 Put 69.00 @ 7.15,-715.00,1,-715.00,0.00,-0.13,100,SHOP,SHOP,5/17/24,69,PUT,321557809
2024-05-08T06:53:09-0700,Trade,Sell to Close,SELL_TO_CLOSE,SHOP  240517P00066000,Equity Option,Sold 1 SHOP 05/17/24 Put 66.00 @ 4.30,430.00,1,430.00,0.00,-0.143,100,SHOP,SHOP,5/17/24,66,PUT,321553705
2024-05-08T06:45:36-0700,Trade,Buy to Close,BUY_TO_CLOSE,AMZN  240517C00187500,Equity Option,Bought 1 AMZN 05/17/24 Call 187.50 @ 2.91,-291.00,1,-291.00,0.00,-0.13,100,AMZN,AMZN,5/17/24,187.5,CALL,321545734
2024-05-08T06:34:03-0700,Trade,Sell to Close,SELL_TO_CLOSE,PANW  240621P00260000,Equity Option,Sold 1 PANW 06/21/24 Put 260.00 @ 5.35,535.00,1,535.00,0.00,-0.143,100,PANW,PANW,6/21/24,260,PUT,321532466
2024-05-07T12:55:56-0700,Trade,Sell to Close,SELL_TO_CLOSE,LYFT  240621C00024000,Equity Option,Sold 1 LYFT 06/21/24 Call 24.00 @ 0.34,34.00,1,34.00,0.00,-0.143,100,LYFT,LYFT,6/21/24,24,CALL,321498676
2024-05-07T12:55:56-0700,Trade,Buy to Close,BUY_TO_CLOSE,LYFT  240621C00020000,Equity Option,Bought 1 LYFT 06/21/24 Call 20.00 @ 0.92,-92.00,1,-92.00,0.00,-0.13,100,LYFT,LYFT,6/21/24,20,CALL,321498676
2024-05-07T11:06:35-0700,Trade,Sell to Close,SELL_TO_CLOSE,SMCI  240517P00750000,Equity Option,Sold 1 SMCI 05/17/24 Put 750.00 @ 10.50,"1,050.00",1,"1,050.00",0.00,-0.143,100,SMCI,SMCI,5/17/24,750,PUT,321394531
2024-05-07T09:59:18-0700,Trade,Buy to Close,BUY_TO_CLOSE,PANW  240621P00290000,Equity Option,Bought 1 PANW 06/21/24 Put 290.00 @ 12.10,"-1,210.00",1,"-1,210.00",0.00,-0.13,100,PANW,PANW,6/21/24,290,PUT,321433676
2024-05-07T09:36:45-0700,Trade,Sell to Open,SELL_TO_OPEN,IWM   240621P00190000,Equity Option,Sold 1 IWM 06/21/24 Put 190.00 @ 1.06,106.00,1,106.00,-1.00,-0.143,100,IWM,IWM,6/21/24,190,PUT,321426340
2024-05-07T09:26:27-0700,Trade,Buy to Open,BUY_TO_OPEN,SNAP  240816P00011000,Equity Option,Bought 2 SNAP 08/16/24 Put 11.00 @ 0.26,-52.00,2,-26.00,-2.00,-0.25,100,SNAP,SNAP,8/16/24,11,PUT,321422964
2024-05-07T09:26:27-0700,Trade,Sell to Open,SELL_TO_OPEN,SNAP  240816P00015000,Equity Option,Sold 2 SNAP 08/16/24 Put 15.00 @ 1.20,240.00,2,120.00,-2.00,-0.266,100,SNAP,SNAP,8/16/24,15,PUT,321422964
2024-05-07T09:05:24-0700,Trade,Buy to Open,BUY_TO_OPEN,ARM   250117P00042500,Equity Option,Bought 1 ARM 01/17/25 Put 42.50 @ 0.61,-61.00,1,-61.00,-1.00,-0.13,100,ARM,ARM,1/17/25,42.5,PUT,321415612
2024-05-07T09:05:24-0700,Trade,Sell to Open,SELL_TO_OPEN,ARM   250117P00080000,Equity Option,Sold 1 ARM 01/17/25 Put 80.00 @ 6.79,679.00,1,679.00,-1.00,-0.143,100,ARM,ARM,1/17/25,80,PUT,321415612
2024-05-07T09:00:28-0700,Trade,Sell to Open,SELL_TO_OPEN,PANW  240621P00290000,Equity Option,Sold 1 PANW 06/21/24 Put 290.00 @ 13.20,"1,320.00",1,"1,320.00",-1.00,-0.153,100,PANW,PANW,6/21/24,290,PUT,321414115
2024-05-07T09:00:28-0700,Trade,Buy to Open,BUY_TO_OPEN,PANW  240621P00260000,Equity Option,Bought 1 PANW 06/21/24 Put 260.00 @ 4.72,-472.00,1,-472.00,-1.00,-0.13,100,PANW,PANW,6/21/24,260,PUT,321414115
2024-05-07T08:59:11-0700,Trade,Buy to Open,BUY_TO_OPEN,AMZN  240517C00192500,Equity Option,Bought 1 AMZN 05/17/24 Call 192.50 @ 1.77,-177.00,1,-177.00,-1.00,-0.13,100,AMZN,AMZN,5/17/24,192.5,CALL,321413552
2024-05-07T08:59:11-0700,Trade,Sell to Open,SELL_TO_OPEN,AMZN  240517C00187500,Equity Option,Sold 1 AMZN 05/17/24 Call 187.50 @ 4.23,423.00,1,423.00,-1.00,-0.143,100,AMZN,AMZN,5/17/24,187.5,CALL,321413552
2024-05-07T08:56:58-0700,Trade,Buy to Open,BUY_TO_OPEN,AAPL  250117P00145000,Equity Option,Bought 1 AAPL 01/17/25 Put 145.00 @ 1.94,-194.00,1,-194.00,-1.00,-0.13,100,AAPL,AAPL,1/17/25,145,PUT,321412853
2024-05-07T08:56:58-0700,Trade,Sell to Open,SELL_TO_OPEN,AAPL  250117P00170000,Equity Option,Sold 1 AAPL 01/17/25 Put 170.00 @ 6.47,647.00,1,647.00,-1.00,-0.143,100,AAPL,AAPL,1/17/25,170,PUT,321412853
2024-05-07T08:54:02-0700,Trade,Sell to Open,SELL_TO_OPEN,AAPL  240621C00170000,Equity Option,Sold 1 AAPL 06/21/24 Call 170.00 @ 14.00,"1,400.00",1,"1,400.00",-1.00,-0.153,100,AAPL,AAPL,6/21/24,170,CALL,321411761
2024-05-07T08:50:22-0700,Trade,Buy to Open,BUY_TO_OPEN,AAPL,Equity,Bought 100 AAPL @ 181.87,"-18,187.43",100,-181.87,0.00,-0.08,,,,,,,321410380
2024-05-07T08:41:00-0700,Trade,Sell to Open,SELL_TO_OPEN,EEM   240621P00042000,Equity Option,Sold 1 EEM 06/21/24 Put 42.00 @ 0.68,68.00,1,68.00,-1.00,-0.143,100,EEM,EEM,6/21/24,42,PUT,321406785
2024-05-07T08:37:15-0700,Trade,Sell to Open,SELL_TO_OPEN,TOST  240510C00025000,Equity Option,Sold 1 TOST 05/10/24 Call 25.00 @ 1.30,130.00,1,130.00,-1.00,-0.143,100,TOST,TOST,5/10/24,25,CALL,321405364
2024-05-07T08:37:15-0700,Trade,Buy to Open,BUY_TO_OPEN,TOST  240510C00027500,Equity Option,Bought 1 TOST 05/10/24 Call 27.50 @ 0.56,-56.00,1,-56.00,-1.00,-0.13,100,TOST,TOST,5/10/24,27.5,CALL,321405364
2024-05-07T08:34:19-0700,Trade,Sell to Open,SELL_TO_OPEN,SHOP  240517P00069000,Equity Option,Sold 1 SHOP 05/17/24 Put 69.00 @ 1.26,126.00,1,126.00,-1.00,-0.143,100,SHOP,SHOP,5/17/24,69,PUT,321404015
2024-05-07T08:34:19-0700,Trade,Buy to Open,BUY_TO_OPEN,SHOP  240517P00066000,Equity Option,Bought 1 SHOP 05/17/24 Put 66.00 @ 0.69,-69.00,1,-69.00,-1.00,-0.13,100,SHOP,SHOP,5/17/24,66,PUT,321404015
2024-05-07T08:32:28-0700,Trade,Buy to Close,BUY_TO_CLOSE,META  240517P00462500,Equity Option,Bought 1 META 05/17/24 Put 462.50 @ 6.05,-605.00,1,-605.00,0.00,-0.13,100,META,META,5/17/24,462.5,PUT,321403137
2024-05-07T08:10:31-0700,Trade,Buy to Close,BUY_TO_CLOSE,SMCI  240517P00800000,Equity Option,Bought 1 SMCI 05/17/24 Put 800.00 @ 25.25,"-2,525.00",1,"-2,525.00",0.00,-0.13,100,SMCI,SMCI,5/17/24,800,PUT,321393603
2024-05-07T08:04:17-0700,Trade,Buy to Open,BUY_TO_OPEN,META  240517P00450000,Equity Option,Bought 1 META 05/17/24 Put 450.00 @ 3.25,-325.00,1,-325.00,-1.00,-0.13,100,META,META,5/17/24,450,PUT,321388631
2024-05-07T08:04:17-0700,Trade,Sell to Open,SELL_TO_OPEN,META  240517P00462500,Equity Option,Sold 1 META 05/17/24 Put 462.50 @ 7.27,727.00,1,727.00,-1.00,-0.143,100,META,META,5/17/24,462.5,PUT,321388631
2024-05-07T08:03:21-0700,Trade,Sell to Open,SELL_TO_OPEN,GOOGL 240621C00170000,Equity Option,Sold 1 GOOGL 06/21/24 Call 170.00 @ 6.70,670.00,1,670.00,-1.00,-0.143,100,GOOGL,GOOGL,6/21/24,170,CALL,321390257
